WardNum,WardName,Zone,Assigned Monitoring Station,UID,Dist (km)
113,MOHAN GARDEN,West Zone,"Mundka, Delhi",10708,6.23
114,NAWADA,West Zone,"NIMR Dwarka Sector 8, Delhi",10119,6.34
115,UTTAM NAGAR,West Zone,"NIMR Dwarka Sector 8, Delhi",10119,5.04
116,BINDA PUR,West Zone,"NIMR Dwarka Sector 8, Delhi",10119,3.91
117,DABRI,Najafgarh Zone,"NIMR Dwarka Sector 8, Delhi",10119,3.66
118,SAGARPUR,Najafgarh Zone,"NIMR Dwarka Sector 8, Delhi",10119,3.75
119,MANGLAPURI,Najafgarh Zone,"NIMR Dwarka Sector 8, Delhi",10119,2.48
120,DWARKA-B,Najafgarh Zone,"NIMR Dwarka Sector 8, Delhi",10119,2.31
121,DWARKA-A,Najafgarh Zone,"NIMR Dwarka Sector 8, Delhi",10119,4.45
122,MATIALA,Najafgarh Zone,"NIMR Dwarka Sector 8, Delhi",10119,4.99
123,KAKROLA,Najafgarh Zone,"NIMR Dwarka Sector 8, Delhi",10119,6.42
124,NANGLI SAKRAWATI,Najafgarh Zone,"NIMR Dwarka Sector 8, Delhi",10119,6.22
125,CHHAWALA,Najafgarh Zone,"Najafgarh Hospital, Delhi",10120,3.52
126,ISAPUR,Najafgarh Zone,"Najafgarh Hospital, Delhi",10120,3.44
127,NAJAFGARH,Najafgarh Zone,"Najafgarh Hospital, Delhi",10120,7.24
128,DICHAON KALAN,Najafgarh Zone,"Mundka, Delhi",10708,7.09
129,ROSHAN PURA,Najafgarh Zone,"Najafgarh Hospital, Delhi",10120,7.31
130,DWARKA-C,Najafgarh Zone,"NIMR Dwarka Sector 8, Delhi",10119,4.19
131,BIJWASAN,Najafgarh Zone,"NIMR Dwarka Sector 8, Delhi",10119,5.28
132,KAPASHERA,Najafgarh Zone,"Aya Nagar, Delhi",10126,6.01
133,MAHIPALPUR,Najafgarh Zone,"NIMR Dwarka Sector 8, Delhi",10119,4.93
134,RAJ NAGAR,Najafgarh Zone,"NIMR Dwarka Sector 8, Delhi",10119,0.63
135,PALAM,Najafgarh Zone,"NIMR Dwarka Sector 8, Delhi",10119,1.13
136,MADHU VIHAR,Najafgarh Zone,"NIMR Dwarka Sector 8, Delhi",10119,3.27
137,MAHAVIR ENCLAVE,Najafgarh Zone,"NIMR Dwarka Sector 8, Delhi",10119,2.67
138,SADH NAGAR,Najafgarh Zone,"NIMR Dwarka Sector 8, Delhi",10119,2.40
139,NARAINA,Karolbagh,"Shadipur, Delhi",8179,2.55
140,INDER PURI,Karolbagh,"Pusa, Delhi",10124,1.51
141,RAJINDER NAGAR,Karolbagh,"Pusa, Delhi",10124,1.04
142,DARYAGANJ,Central Zone,"ITO, Delhi",3715,1.31
143,SIDHARTHA NAGAR,Central Zone,"PGDAV College, Sriniwaspuri, Delhi",10112,2.47
144,LAJPAT NAGAR,Central Zone,"PGDAV College, Sriniwaspuri, Delhi",10112,0.84
145,ANDREWS GANJ,Central Zone,"JN Stadium, Delhi",10705,0.98
146,AMAR COLONY,Central Zone,"PGDAV College, Sriniwaspuri, Delhi",10112,0.90
147,KOTLA MUBARAKPUR,Central Zone,"JN Stadium, Delhi",10705,1.84
